date,event,utr_singles_masked,utr_doubles_masked,utr_singles_unmasked,utr_doubles_unmasked
2025-03-09T00:00:00,2025 CORTA USTA Adult 40 & Over - Spring/Women 4.0,1.xx,2.xx,1.23,2.68
2025-02-26T00:00:00,2025 CORTA USTA Adult 18 & Over - Spring/Women 4.0 Low (Check Eligibility List),1.xx,2.xx,1.23,2.68
2025-02-19T00:00:00,2025 CORTA USTA Adult 18 & Over - Spring/Women 4.0 Low (Check Eligibility List),1.xx,2.xx,1.23,2.68
2025-02-13T00:00:00,2025 CORTA USTA Adult 18 & Over - Spring/Women 4.0 Low (Check Eligibility List),1.xx,2.xx,1.23,2.68
2025-02-03T00:00:00,2025 CORTA USTA Adult 18 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2025-02-02T00:00:00,2025 CORTA USTA MXD 40 & Over - Fall/3.5,1.xx,2.xx,1.23,2.68
2025-02-01T00:00:00,2025 CORTA USTA Adult 18 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2025-01-16T00:00:00,2025 CORTA USTA Adult 18 & Over - Spring/Women 4.0 Low (Check Eligibility List),1.xx,2.xx,1.23,2.68
2024-12-22T00:00:00,2025 CORTA USTA MXD 40 & Over - Fall/3.5,1.xx,2.xx,1.23,2.68
2024-12-21T00:00:00,2025 CORTA USTA MXD 18 & Over - Fall/3.5,1.xx,2.xx,1.23,2.68
2024-11-24T00:00:00,2025 CORTA USTA Adult 40 & Over - Fall/Women 3.5,1.xx,2.xx,1.23,2.68
2024-11-23T00:00:00,2025 CORTA USTA MXD 18 & Over - Fall/3.5,1.xx,2.xx,1.23,2.68
2024-11-13T00:00:00,2025 CORTA USTA Adult 40 & Over - Fall/Women 3.5,1.xx,2.xx,1.23,2.68
2024-10-28T00:00:00,2025 CORTA USTA Adult 40 & Over - Fall/Women 3.5,1.xx,2.xx,1.23,2.68
2024-10-27T00:00:00,2025 CORTA USTA Adult 40 & Over - Fall/Women 3.5,1.xx,2.xx,1.23,2.68
2024-10-25T00:00:00,2025 CORTA USTA Adult 18 & Over - Fall/Women 3.5,1.xx,2.xx,1.23,2.68
2024-10-10T00:00:00,2025 CORTA USTA Adult 18 & Over - Fall/Women 3.5,1.xx,2.xx,1.23,2.68
2024-10-09T00:00:00,2025 CORTA USTA Adult 18 & Over - Fall/Women 4.0 Low (Check Eligibility List),1.xx,2.xx,1.23,2.68
2024-10-05T00:00:00,2025 CORTA USTA Adult 18 & Over - Fall/Women 3.5,1.xx,2.xx,1.23,2.68
2024-09-21T00:00:00,2025 CORTA USTA Adult 18 & Over - Fall/Women 3.5,1.xx,2.xx,1.23,2.68
2024-09-19T00:00:00,2025 CORTA USTA Adult 18 & Over - Fall/Women 4.0 Low (Check Eligibility List),1.xx,2.xx,1.23,2.68
