date,event,win_masked,games_won_masked,games_lost_masked,utr_singles_masked,utr_doubles_masked,opponent_utr_masked,win_unmasked,games_won_unmasked,games_lost_unmasked,utr_singles_unmasked,utr_doubles_unmasked,opponent_utr_unmasked,estimated_singles_utr,estimated_doubles_utr
2025-03-09T00:00:00,2556605,True,12,2,1.xx,2.xx,0.0,True,12,2,1.23,2.68,3.0,1.23,2.68
2025-02-26T00:00:00,2542352,True,12,6,1.xx,2.xx,1.0,True,12,6,1.23,2.68,2.0,1.25,2.7
2025-02-19T00:00:00,2531405,True,12,2,1.xx,2.xx,1.0,True,12,2,1.23,2.68,2.0,1.27,2.72
2025-02-13T00:00:00,2525237,True,13,9,1.xx,2.xx,,True,13,9,1.23,2.68,2.0,1.29,2.74
2025-02-03T00:00:00,2511465,True,12,2,1.xx,2.xx,,True,12,2,1.23,2.68,2.0,1.31,2.7600000000000002
2025-02-02T00:00:00,2510820,True,13,8,1.xx,2.xx,,True,13,8,1.23,2.68,2.0,1.33,2.7800000000000002
2025-02-01T00:00:00,2509906,True,13,5,1.xx,2.xx,,True,13,5,1.23,2.68,2.0,1.35,2.8000000000000003
2025-01-16T00:00:00,2498107,True,12,6,1.xx,2.xx,1.0,True,12,6,1.23,2.68,2.0,1.37,2.8200000000000003
2024-12-22T00:00:00,2492772,True,10,12,1.xx,2.xx,2.0,True,10,12,1.23,2.68,3.0,1.3900000000000001,2.8400000000000003
2024-12-21T00:00:00,2491976,True,13,6,1.xx,2.xx,5.0,True,13,6,1.23,2.68,1.0,1.4100000000000001,2.8600000000000003
2024-11-24T00:00:00,2468516,True,13,6,1.xx,2.xx,,True,13,6,1.23,2.68,2.0,1.4300000000000002,2.8800000000000003
2024-11-23T00:00:00,2467357,True,12,4,1.xx,2.xx,1.0,True,12,4,1.23,2.68,1.0,1.4500000000000002,2.9000000000000004
2024-11-13T00:00:00,2458905,True,13,11,1.xx,2.xx,1.0,True,13,11,1.23,2.68,2.0,1.4700000000000002,2.9200000000000004
2024-10-28T00:00:00,2445895,True,12,7,1.xx,2.xx,,True,12,7,1.23,2.68,3.0,1.4900000000000002,2.9400000000000004
2024-10-27T00:00:00,2444958,True,7,8,1.xx,2.xx,1.0,True,7,8,1.23,2.68,2.0,1.5100000000000002,2.9600000000000004
2024-10-25T00:00:00,2443710,True,13,10,1.xx,2.xx,,True,13,10,1.23,2.68,3.0,1.5300000000000002,2.9800000000000004
2024-10-10T00:00:00,2412639,True,12,3,1.xx,2.xx,,True,12,3,1.23,2.68,2.0,1.5500000000000003,3.0000000000000004
2024-10-09T00:00:00,2412484,True,11,8,1.xx,2.xx,,True,11,8,1.23,2.68,2.0,1.5700000000000003,3.0200000000000005
2024-10-05T00:00:00,2406844,True,12,8,1.xx,2.xx,,True,12,8,1.23,2.68,3.0,1.5900000000000003,3.0400000000000005
2024-09-21T00:00:00,2390413,True,12,2,1.xx,2.xx,2.0,True,12,2,1.23,2.68,3.0,1.6100000000000003,3.0600000000000005
2024-09-19T00:00:00,2388444,True,12,10,1.xx,2.xx,,True,12,10,1.23,2.68,3.0,1.6300000000000003,3.0800000000000005
2024-09-17T00:00:00,2387824,True,12,6,1.xx,2.xx,,True,12,6,1.23,2.68,3.0,1.6500000000000004,3.1000000000000005
2024-09-08T00:00:00,2378807,True,12,10,1.xx,2.xx,,True,12,10,1.23,2.68,4.0,1.6700000000000004,3.1200000000000006
2024-09-07T00:00:00,2378050,True,10,9,1.xx,2.xx,,True,10,9,1.23,2.68,2.0,1.6900000000000004,3.1400000000000006
2024-09-06T00:00:00,2377538,True,13,6,1.xx,2.xx,,True,12,9,1.23,2.68,3.0,1.25,2.7
2024-09-06T00:00:00,2377538,True,13,6,1.xx,2.xx,,True,13,6,1.23,2.68,5.0,1.7100000000000004,3.1600000000000006
2024-09-06T00:00:00,2377538,True,12,9,1.xx,2.xx,,True,12,9,1.23,2.68,3.0,1.27,2.7
2024-09-06T00:00:00,2377538,True,12,9,1.xx,2.xx,,True,13,6,1.23,2.68,5.0,1.25,3.1800000000000006
2024-09-05T00:00:00,2380337,True,12,5,1.xx,2.xx,,True,12,5,1.23,2.68,2.0,1.7300000000000004,3.2000000000000006
2024-08-27T00:00:00,2373043,True,10,9,1.xx,2.xx,,True,10,9,1.23,2.68,2.0,1.7500000000000004,3.2200000000000006
